,word,pronunciation,common tag,jlpt tag,meanings_wrapper,details_href,verb_tag
26,名前,なまえ,Common word,JLPT N5,"{'Noun': 'name', 'Wikipedia definition': 'given name; first name', 'Other forms': 'Name'}",https://jisho.org/word/名前,Not Verb
27,旅行,りょこう,Common word,JLPT N5,"{'Noun, Suru verb': 'travel; trip; journey; excursion; tour', 'Wikipedia definition': 'Travel'}",https://jisho.org/word/旅行,suru
28,道,みち,Common word,JLPT N5,"{'Noun': 'road; path; street; lane; passage', 'Wikipedia definition': 'route; way', 'Other forms': 'distance; journey'}",https://jisho.org/word/道,Not Verb
29,飛行機,ひこうき,Common word,JLPT N5,"{'Noun': 'aeroplane; airplane; aircraft', 'Wikipedia definition': 'Fixed-wing aircraft'}",https://jisho.org/word/飛行機,Not Verb
30,映画,えいが,Common word,JLPT N5,"{'Noun, No-adjective': 'movie; film', 'Wikipedia definition': 'Film'}",https://jisho.org/word/映画,Not Verb
31,音楽,おんがく,Common word,JLPT N5,"{'Noun': 'music', 'Wikipedia definition': 'Music'}",https://jisho.org/word/音楽,Not Verb
32,木,き,Common word,JLPT N5,"{'Noun': 'tree; shrub; bush', 'Wikipedia definition': 'wood; timber', 'Other forms': 'Tree'}",https://jisho.org/word/木,Not Verb
33,大学,だいがく,Common word,JLPT N5,"{'Noun': 'university; college', 'Wikipedia definition': 'former central university of Kyoto (established under the ritsuryo system for the training of government administrators)', 'Other forms': 'the Great Learning (one of the Four Books)', 'Notes': 'University'}",https://jisho.org/word/大学,Not Verb
34,時計,とけい,Common word,JLPT N5,"{'Noun': 'watch; clock; timepiece', 'Wikipedia definition': 'Clock', 'Other forms': '土圭 【とけい】、時計 【ときはかり】', 'Notes': 'ときはかり: Out-dated or obsolete kana usage.'}",https://jisho.org/word/時計,Not Verb
35,家族,かぞく,Common word,JLPT N5,"{'Noun, No-adjective': 'family; members of a family', 'Wikipedia definition': 'Family'}",https://jisho.org/word/家族,Not Verb
36,花,はな,Common word,JLPT N5,"{'Noun': 'flower; blossom; bloom; petal', 'No-adjective': 'cherry blossom', 'Wikipedia definition': 'beauty', 'Other forms': 'blooming (esp. of cherry blossoms)'}",https://jisho.org/word/花,Not Verb
37,猫,ねこ,Common word,JLPT N5,"{'Noun': 'cat (esp. the domestic cat, Felis catus)', 'Wikipedia definition': 'shamisen', 'Other forms': 'geisha'}",https://jisho.org/word/猫,Not Verb
38,毎日,まいにち,Common word,JLPT N5,"{'Adverbial noun, Temporal noun': 'every day', 'Wikipedia definition': 'Every Single Day (band)'}",https://jisho.org/word/毎日,Not Verb
39,宿題,しゅくだい,Common word,JLPT N5,"{'Noun': 'homework; assignment', 'Wikipedia definition': 'pending issue; unresolved problem; open question'}",https://jisho.org/word/宿題,Not Verb
40,雪,ゆき,Common word,JLPT N5,"{'Noun': 'snow', 'Wikipedia definition': 'Snow'}",https://jisho.org/word/雪,Not Verb
41,山,やま,Common word,JLPT N5,"{'Noun, Counter': 'mountain; hill', 'Noun': 'mine (e.g. coal mine)', 'Noun - used as a prefix': 'heap; pile', 'Wikipedia definition': 'crown (of a hat); thread (of a screw); tread (of a tire); protruding part of an object'}",https://jisho.org/word/山,Not Verb
